E500,Sodium carbonates: (i) Sodium carbonate (ii) Sodium bicarbonate (Sodium hydrogen carbonate) (iii) Sodium sesquicarbonate (acidity regulator),raising agent
E501,Potassium carbonates: (i) Potassium carbonate (ii) Potassium bicarbonate (Potassium hydrogen carbonate),acidity regulator
E503,Ammonium carbonates: (i) Ammonium carbonate (ii) Ammonium bicarbonate (Ammonium hydrogen carbonate),acidity regulator
E504,Magnesium carbonates: (i) Magnesium carbonate (ii) Magnesium bicarbonate Magnesium hydrogen carbonate,"acidity regulator, anti-caking agent"
E505,Ferrous carbonate,acidity regulator
E507,Hydrochloric acid,acid
E508,Potassium chloride (gelling agent),seasoning
E509,Calcium chloride (sequestrant),firming agent
E510,"Ammonium chloride, ammonia solution (acidity regulator)",improving agent
E511,Magnesium chloride,firming agent
E512,Stannous chloride,antioxidant
E513,Sulfuric acid,acid
E514,Sodium sulfates (i) Sodium sulfate (ii) sodium bisulfate,acid
E515,Potassium sulfates (i) potassium sulfate (ii) potassium bisulfate,
E516,Calcium sulfate,
E517,Ammonium sulfate,acidity regulator
E518,"Magnesium sulfate (Epsom salts), (acidity regulator)",firming agent
E519,Copper(II) sulfate,preservative
E520,Aluminium sulfate,firming agent
E521,Aluminium sodium sulfate,firming agent
E522,Aluminium potassium sulfate,acidity regulator
E523,Aluminium ammonium sulfate,acidity regulator
E524,Sodium hydroxide,acidity regulator
E525,Potassium hydroxide,acidity regulator
E526,Calcium hydroxide (acidity regulator),firming agent
E527,Ammonium hydroxide,acidity regulator
E528,Magnesium hydroxide,acidity regulator
E529,Calcium oxide (acidity regulator),improving agent
E530,Magnesium oxide (acidity regulator),anti-caking agent
E535,Sodium ferrocyanide (acidity regulator),anti-caking agent
E536,Potassium ferrocyanide,anti-caking agent
E537,Ferrous hexacyanomanganate,anti-caking agent
E538,Calcium ferrocyanide,anti-caking agent
E539,Sodium thiosulfate,antioxidant
E540,Dicalcium diphosphate[citation needed] (acidity regulator),emulsifier
E541,Sodium aluminium phosphate (i) Acidic (ii) Basic,emulsifier
E542,"Bone phosphate (Essentiale Calcium Phosphate, Tribasic)",anti-caking agent
E543,Calcium sodium polyphosphate,emulsifier
E544,Calcium polyphosphate,emulsifier
E545,Ammonium polyphosphate,emulsifier
E550,Sodium Silicates (i) Sodium silicate (ii) Sodium metasilicate,anti-caking agent
E551,Silicon dioxide (Silica),anti-caking agent
E552,Calcium silicate,anti-caking agent
E553a,(i) Magnesium silicate (ii) Magnesium trisilicate,anti-caking agent
E553b,Talc,anti-caking agent
E554,Sodium aluminosilicate (sodium aluminium silicate),anti-caking agent
E555,Potassium aluminium silicate (potassium aluminosilicate),anti-caking agent
E556,Calcium aluminosilicate (calcium aluminium silicate),anti-caking agent
E557,Zinc silicate,anti-caking agent
E558,Bentonite,anti-caking agent
E559,Aluminium silicate (Kaolin),anti-caking agent
E560,Potassium silicate,anti-caking agent
E561,Vermiculite,
E562,Sepiolite,
E563,Sepiolitic clay,
E565,Lignosulfonates,
E566,Natrolite-phonolite,
E570,Fatty acids,anti-caking agent
E572,"Magnesium stearate, calcium stearate (emulsifier)",anti-caking agent
E574,Gluconic acid,acidity regulator
E575,Glucono delta-lactone (acidity regulator),sequestrant
E576,Sodium gluconate,sequestrant
E577,Potassium gluconate,sequestrant
E578,Calcium gluconate,firming agent
E579,Ferrous gluconate,food colouring
E580,Magnesium gluconate,
E585,Ferrous lactate,food colouring
E586,4-Hexylresorcinol,antioxidant
E598,Synthetic calcium aluminates,
E599,Perlite,
