E900,Dimethyl polysiloxane (anti-foaming agent),anti-caking agent
E901,"Beeswax, white and yellow",glazing agent
E902,Candelilla wax,glazing agent
E903,Carnauba wax,glazing agent
E904,Shellac,glazing agent
E905,Paraffins,
E905a,Mineral oil,anti-foaming agent
E905b,Petrolatum,
E905c,Petroleum wax (i)Microcrystalline wax (ii) Paraffin wax,glazing agent
E906,Gum benzoic,flavour enhancer
E907,Crystalline wax,glazing agent
E908,Rice bran wax,glazing agent
E909,Spermaceti wax,glazing agent
E910,Wax esters,glazing agent
E911,Methyl esters of fatty acids,glazing agent
E912,"Montanic acid esters, Montan acid esters",glazing agent
E913,"Lanolin, sheep wool grease",glazing agent
E914,"Oxidized polyethylene wax, oxidized polyethylene",glazing agent
E915,Esters of colophony,glazing agent
E916,Calcium iodate,
E917,Potassium iodate,
E918,Nitrogen oxides,
E919,Nitrosyl chloride,
E920,L-cysteine,improving agent
E921,L-cystine,improving agent
E922,Potassium persulfate,improving agent
E923,Ammonium persulfate,improving agent
E924,Potassium bromate,improving agent
E924b,Calcium bromate,improving agent
E925,Chlorine,"preservative, bleach, improving agent"
E926,Chlorine dioxide (preservative),bleach
E927a,Azodicarbonamide,improving agent
E927b,Carbamide (urea),improving agent
E928,Benzoyl peroxide (improving agent),bleach
E929,Acetone peroxide,
E930,Calcium peroxide (improving agent),bleach
E938,Argon,packaging gas
E939,Helium,packaging gas
E940,Dichlorodifluoromethane,packaging gas
E941,Nitrogen (packaging gas),propellant
E942,Nitrous oxide,propellant
E943a,Butane,propellant
E943b,Isobutane,propellant
E944,Propane,propellant
E945,Chloropentafluoroethane,propellant
E946,Octafluorocyclobutane,propellant
E948,Oxygen,packaging gas
E949,Hydrogen,packaging gas
E950,Acesulfame potassium,sweetener
E951,Aspartame,sweetener
E952,"Cyclamic acid and its sodium and calcium salts, also known as Cyclamate",sweetener
E953,"Isomalt, Isomaltitol",sweetener
E954,"Saccharin and its sodium, potassium and calcium salts",sweetener
E955,Sucralose (Trichlorogalactosucrose),sweetener
E956,Alitame,sweetener
E957,Thaumatin (sweetener),flavour enhancer
E958,Glycyrrhizin (sweetener),flavour enhancer
E959,Neohesperidine dihydrochalcone (sweetener),flavour enhancer
E960,Steviol glycosides,sweetener
E961,Neotame,sweetener
E962,Aspartame-acesulfame salt (sweetener),stabiliser
E964,Polyglycitol syrup,sweetener
E965,Maltitol (i) Maltitol (ii) Maltitol syrup (sweetener) (stabiliser),humectant
E966,Lactitol,sweetener
E967,Xylitol,sweetener
E968,Erythritol,sweetener
E969,Advantame,sweetener
E999,Quillaia extract,foaming agent
