E400,Alginic acid (thickener) (stabiliser) (gelling agent),emulsifier
E401,Sodium alginate (thickener) (stabiliser) (gelling agent),emulsifier
E402,Potassium alginate (thickener) (stabiliser) (gelling agent),emulsifier
E403,Ammonium alginate (thickener) (stabiliser),emulsifier
E404,Calcium alginate (thickener) (stabiliser) (gelling agent),emulsifier
E405,"Propane-1,2-diol alginate (Propylene glycol alginate) (thickener) (stabiliser)",emulsifier
E406,Agar (thickener) (gelling agent),stabiliser
E407,Carrageenan (thickener) (stabiliser) (gelling agent),emulsifier
E407a,Processed eucheuma seaweed (thickener) (stabiliser) (gelling agent),emulsifier
E408,Bakers yeast glycan,
E409,Arabinogalactan,
E410,Locust bean gum (Carob gum) (thickener) (stabiliser) (gelling agent),emulsifier
E411,Oat gum (thickener),stabiliser
E412,Guar gum (thickener),stabiliser
E413,Tragacanth (thickener) (stabiliser),emulsifier
E414,Acacia gum (gum arabic) (thickener) (stabiliser),emulsifier
E415,Xanthan gum (thickener),stabiliser
E416,Karaya gum (thickener) (stabiliser),emulsifier
E417,Tara gum (thickener),stabiliser
E418,Gellan gum (thickener) (stabiliser),emulsifier
E419,Gum ghatti (thickener) (stabiliser),emulsifier
E420,Sorbitol (i) Sorbitol (ii) Sorbitol syrup (emulsifier) (sweetener),humectant
E421,Mannitol (anti-caking agent),sweetener
E422,Glycerol (emulsifier),sweetener
E424,Curdlan,gelling agent
E425,Konjac (i) Konjac gum (ii) Konjac glucomannane,emulsifier
E426,Soybean hemicellulose,
E427,Cassia gum,
E428,Gelatin,
E429,Peptones,
E430,Polyoxyethene (8) stearate (emulsifier),stabiliser
E431,Polyoxyethene (40) stearate,emulsifier
E432,Polyoxyethene (20) sorbitan monolaurate (polysorbate 20),emulsifier
E433,Polyoxyethene (20) sorbitan monooleate (polysorbate 80),emulsifier
E434,Polyoxyethene (20) sorbitan monopalmitate (polysorbate 40),emulsifier
E435,Polyoxyethene (20) sorbitan monostearate (polysorbate 60),emulsifier
E436,Polyoxyethene (20) sorbitan tristearate (polysorbate 65),emulsifier
E440,Pectins (i) pectin (ii) amidated pectin,emulsifier
E441,Gelatine (emulsifier),gelling agent
E442,Ammonium phosphatides,emulsifier
E443,Brominated vegetable oil,emulsifier
E444,Sucrose acetate isobutyrate,emulsifier
E445,Glycerol esters of wood rosins,emulsifier
E446,Succistearin,
E450,Diphosphates:,emulsifier
E451,Triphosphates:,emulsifier
E452,Polyphosphates:,emulsifier
E459,Beta-cyclodextrin,emulsifier
E460,Cellulose (i) Microcrystalline cellulose (ii) Powdered cellulose,emulsifier
E461,Methyl cellulose,emulsifier
E462,Ethyl cellulose,emulsifier
E463,Hydroxypropyl cellulose,emulsifier
E464,Hypromellose (hydroxypropyl methylcellulose),emulsifier
E465,Ethyl methyl cellulose,emulsifier
E466,"Carboxymethyl cellulose, Sodium carboxymethyl cellulose",emulsifier
E467,Ethyl hydroxyethyl cellulose,
E468,Crosslinked sodium carboxymethyl cellulose (Croscarmellose),emulsifier
E469,Enzymically hydrolysed carboxymethylcellulose,emulsifier
E470a,"Sodium, potassium and calcium salts of fatty acids (emulsifier)",anti-caking agent
E470b,Magnesium salts of fatty acids (emulsifier),anti-caking agent
E471,"Mono- and diglycerides of fatty acids (glyceryl monostearate, glyceryl distearate)",emulsifier
E472a,Acetic acid esters of mono- and diglycerides of fatty acids,emulsifier
E472b,Lactic acid esters of mono- and diglycerides of fatty acids,emulsifier
E472c,Citric acid esters of mono- and diglycerides of fatty acids,emulsifier
E472d,Tartaric acid esters of mono- and diglycerides of fatty acids,emulsifier
E472e,Mono- and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids,emulsifier
E472f,Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,emulsifier
E472g,Succinylated monoglycerides,emulsifier
E473,Sucrose esters of fatty acids,emulsifier
E474,Sucroglycerides,emulsifier
E475,Polyglycerol esters of fatty acids,emulsifier
E476,Polyglycerol polyricinoleate,emulsifier
E477,"Propane-1,2-diol esters of fatty acids, propylene glycol esters of fatty acids",emulsifier
E478,Lactylated fatty acid esters of glycerol and propane-1,emulsifier
E479b,Thermally oxidized soya bean oil interacted with mono- and diglycerides of fatty acids,emulsifier
E480,Dioctyl sodium sulfosuccinate,emulsifier
E481,Sodium stearoyl-2-lactylate,emulsifier
E482,Calcium stearoyl-2-lactylate,emulsifier
E483,Stearyl tartrate,emulsifier
E484,Stearyl citrate,emulsifier
E485,Sodium stearoyl fumarate,emulsifier
E486,Calcium stearoyl fumarate,emulsifier
E487,Sodium laurylsulfate,emulsifier
E488,Ethoxylated Mono- and Di-Glycerides,emulsifier
E489,Methyl glucoside-coconut oil ester,emulsifier
E490,"Propane-1,2-diol",
E491,Sorbitan monostearate,emulsifier
E492,Sorbitan tristearate,emulsifier
E493,Sorbitan monolaurate,emulsifier
E494,Sorbitan monooleate,emulsifier
E495,Sorbitan monopalmitate,emulsifier
E496,Sorbitan trioleate,emulsifier
E497,Polyoxypropylene-polyoxyethylene polymers,
E498,Partial polyglycerol esters of polycondensed fatty acids of castor oil,
E499,Stigmasterol-rich plant sterols,
