ins,name,name_vn,info,function,adi,level,status_vn,source,rule_pred
102,Tartrazine,Tartrazin,"Tartrazin (INS 102) là một chất tạo màu vàng tổng hợp, thuộc nhóm azo, có nguồn gốc từ dầu mỏ.
Được các cơ quan như JECFA, FDA (với tên FD&C Yellow No. 5) và EU (E102) đánh giá là an toàn. Tuy nhiên, nó có thể gây phản ứng dị ứng ở một số cá nhân nhạy cảm và yêu cầu nhãn cảnh báo tại EU về tác động tiềm ẩn đến hoạt động và sự chú ý ở trẻ em.",Phẩm màu,NOT SPECIFIED,2,0,https://apps.who.int/food-additives-contaminants-jecfa-database/,1
160a(i),"Carotenes, beta-, synthetic",Beta-caroten tổng hợp,"Beta-caroten tổng hợp (INS 160a(i)) là một chất tạo màu thực phẩm tổng hợp, được sản xuất hóa học để mang lại sắc thái vàng đến cam và cũng là tiền chất của Vitamin A. Hiện được chấp thuận rộng rãi để sử dụng trong thực phẩm bởi các cơ quan quản lý như EU (E 160a(i)) và FDA.",Phẩm màu,WITHDRAWN,2,0,https://apps.who.int/food-additives-contaminants-jecfa-database/,1
160a(iii),"Carotenes, beta-, Blakeslea trispora","Beta-Caroten, Blakeslea trispora","Đây là Beta-Caroten, một carotenoid tự nhiên mang lại màu vàng-cam, đồng thời là tiền chất của vitamin A. Nó được sản xuất thông qua quá trình lên men vi sinh vật sử dụng nấm Blakeslea trispora. Chất này được đánh giá là rất an toàn khi sử dụng trong giới hạn cho phép và được chấp thuận rộng rãi trên toàn cầu bởi các cơ quan như EU (E 160a), FDA (là chất tạo màu và dinh dưỡng), và JECFA (có ADI cụ thể).",Phẩm màu,WITHDRAWN,2,0,https://apps.who.int/food-additives-contaminants-jecfa-database/,1
160f,"Carotenoic acid, ethyl ester, beta-apo-8'- ",Este etyl của acid beta-apo-8'-Carotenoic,"Este etyl của acid beta-apo-8'-Carotenoic (INS 160f) là một chất tạo màu thực phẩm thuộc nhóm carotenoid, mang lại sắc thái vàng đến cam trong nhiều loại sản phẩm.
Nguồn gốc: Là một este carotenoid tổng hợp, được sản xuất hóa học để tạo ra màu sắc và độ ổn định mong muốn.
Tình trạng pháp lý: Được phép sử dụng rộng rãi. EU: E 160f. FDA: Được chấp thuận. JECFA: Đã thiết lập Mức ăn vào hàng ngày chấp nhận được (ADI).",Phẩm màu,WITHDRAWN,2,0,https://apps.who.int/food-additives-contaminants-jecfa-database/,1
161b,Luteins,,"Luteins (INS 161b) là một chất tạo màu tự nhiên thuộc nhóm carotenoid, mang lại sắc vàng đến cam cho thực phẩm. Thường được chiết xuất từ hoa cúc vạn thọ (Tagetes erecta) hoặc các loại rau xanh đậm. Được phép sử dụng rộng rãi như E161b tại EU cũng như được FDA Hoa Kỳ chấp thuận.",Phẩm màu,,1,0,https://apps.who.int/food-additives-contaminants-jecfa-database/,2
161h,Zeaxanthins,,"Zeaxanthins (INS 161h) là một carotenoid tự nhiên, một sắc tố vàng cam được sử dụng làm chất tạo màu trong thực phẩm. Nguồn gốc chính từ thực vật như ngô, rau xanh đậm và đặc biệt là hoa cúc vạn thọ. Đây được xem là phụ gia Rất an toàn (Very Safe), không ghi nhận rủi ro đáng kể khi sử dụng theo khuyến nghị. Zeaxanthins được EU chấp thuận là chất tạo màu (E 161h), FDA công nhận là GRAS (Generally Recognized As Safe) và được JECFA đánh giá an toàn.",Phẩm màu,,1,0,https://apps.who.int/food-additives-contaminants-jecfa-database/,2
164,Gardenia yellow,Gardenia yellow,"Gardenia yellow (INS 164) là một chất tạo màu tự nhiên, chiết xuất từ quả cây Gardenia jasminoides. Nó mang lại màu vàng tươi, được sử dụng rộng rãi trong thực phẩm và đồ uống. Gardenia yellow được chấp thuận sử dụng bởi EU (E164), FDA và JECFA đã thiết lập ADI (Lượng ăn vào hàng ngày chấp nhận được).",Phẩm màu,NOT ALLOCATED,2,0,https://apps.who.int/food-additives-contaminants-jecfa-database/,1
170,Calcium carbonates,,"Calcium Carbonate (INS 170) là phụ gia thực phẩm đa năng, dùng làm chất chống đông vón, ổn định, chất độn và điều chỉnh độ acid. Có nguồn gốc tự nhiên từ đá vôi, vỏ sò, san hô hoặc tổng hợp. Được FDA công nhận GRAS (Generally Recognized As Safe) và được phép sử dụng rộng rãi tại EU, Codex Alimentarius.",Phẩm màu,,1,0,https://apps.who.int/food-additives-contaminants-jecfa-database/,2
261,Potassium acetates,,"Potassium acetates (INS 261) là chất bảo quản, điều chỉnh độ pH và chất đệm, được dùng để ức chế sự phát triển của vi khuẩn và nấm mốc, kéo dài thời hạn sử dụng sản phẩm. Đây là muối kali của axit axetic, thường được tổng hợp cho mục đích sử dụng trong thực phẩm. Độ an toàn được đánh giá là Very Safe (ADI ""không xác định"") do độc tính thấp và khả năng chuyển hóa tự nhiên trong cơ thể. Được FDA công nhận GRAS (Generally Recognized As Safe) và chấp thuận sử dụng rộng rãi tại EU, JECFA cũng như các cơ quan quản lý thực phẩm toàn cầu.","Chất điều chỉnh độ acid, chất bảo quản",,1,0,,2
262,Sodium acetates,,"INS: 262
  Tên tiếng Anh: Sodium acetates
  Tên tiếng Việt: Natri axetat
  
  INS 262 (Natri axetat) là muối natri của axit axetic, hoạt động như chất điều chỉnh độ axit, chất bảo quản và chất tạo hương trong thực phẩm. Nguồn gốc từ axit axetic (giấm), nó được tổng hợp để sử dụng trong công nghiệp thực phẩm. Được coi là ""Very Safe"" do khả năng chuyển hóa tự nhiên trong cơ thể con người. Chất phụ gia này được các cơ quan như EU, FDA và JECFA chấp thuận sử dụng rộng rãi trên toàn cầu.","Chất điều chỉnh độ acid, chất bảo quản, chất tạo phức kim loại",,1,0,,2
